file_name,file_path,file_size_mb,page_count,inventory_timestamp,title,author,subject,creator,producer,creation_date,modification_date
MCR16.pdf,/home/manu/mining_gpt/data/raw_pdfs/MCR16.pdf,6.01,93,2026-06-01T15:13:35.802659,,,,OmniPage CSDK 15.5,OmniPage CSDK 15.5,2016-03-06 10:06:33+00:00,2016-03-06 10:09:21+00:00
MMDR2020.pdf,/home/manu/mining_gpt/data/raw_pdfs/MMDR2020.pdf,0.08,6,2026-06-01T15:13:35.804534,,,,,www.ilovepdf.com,2020-03-14 00:01:23+05:30,2020-03-16 04:38:12+00:00
MMDR2021Amendment.pdf,/home/manu/mining_gpt/data/raw_pdfs/MMDR2021Amendment.pdf,0.34,12,2026-06-01T15:13:35.808525,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2021-03-28 21:38:42+05:30,2021-03-28 21:40:36+05:30
MMDRamend.pdf,/home/manu/mining_gpt/data/raw_pdfs/MMDRamend.pdf,0.09,2,2026-06-01T15:13:35.810246,838GI.p65,EGIPMR,,PageMaker 6.5,Acrobat Distiller 7.0 (Windows),2016-05-10 10:39:06+05:30,2016-05-10 10:39:06+05:30
MinesAct1952.pdf,/home/manu/mining_gpt/data/raw_pdfs/MinesAct1952.pdf,0.15,33,2026-06-01T15:13:35.816651,The Mines Act 1952,"D G M S (S&T),DHN",,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0 (Windows),2011-01-10 12:43:32+05:30,2011-01-10 12:44:23+05:30
NMEP.pdf,/home/manu/mining_gpt/data/raw_pdfs/NMEP.pdf,0.34,20,2026-06-01T15:13:35.820722,Microsoft Word - 3628gi.doc,Administrator,,PScript5.dll Version 5.2.2,GPL Ghostscript 9.06,2016-07-23 10:14:30+05:30,2016-07-23 10:14:30+05:30
NMETcomp.pdf,/home/manu/mining_gpt/data/raw_pdfs/NMETcomp.pdf,0.26,10,2026-06-01T15:13:35.823458,Microsoft Word - 3506gi.doc,Press-3,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2015-08-20 09:19:14,2015-08-20 09:19:14
NMETrules.pdf,/home/manu/mining_gpt/data/raw_pdfs/NMETrules.pdf,0.26,10,2026-06-01T15:13:35.826774,Microsoft Word - 3506gi.doc,Press-3,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2015-08-20 09:19:14,2015-08-20 09:19:14
NMP2019.pdf,/home/manu/mining_gpt/data/raw_pdfs/NMP2019.pdf,0.91,14,2026-06-01T15:13:35.832724,,,,,api.ilovepdf.com,,2019-03-12 12:25:53+00:00
National_Ambient_Air_Quality_Standards.pdf,/home/manu/mining_gpt/data/raw_pdfs/National_Ambient_Air_Quality_Standards.pdf,0.31,4,2026-06-01T15:13:35.834910,,website,,Microsoft® Office Word 2007,Microsoft® Office Word 2007,2016-04-29 16:15:52+05:30,2016-04-29 16:15:52+05:30
NonFerrousMetalSRF2020.pdf,/home/manu/mining_gpt/data/raw_pdfs/NonFerrousMetalSRF2020.pdf,1.55,23,2026-06-01T15:13:35.846104,,MINES,,Microsoft® Office Word 2007,Microsoft® Office Word 2007,2021-01-06 10:48:51,2021-01-06 10:48:51
OM-FC-100114.pdf,/home/manu/mining_gpt/data/raw_pdfs/OM-FC-100114.pdf,1.06,24,2026-06-01T15:13:35.851662,,,,TOSHIBA e-STUDIO455,Adobe Acrobat 9.47 Paper Capture Plug-in,2014-01-10 17:15:55+12:00,2014-01-10 17:21:53+05:30
PMKKKY.pdf,/home/manu/mining_gpt/data/raw_pdfs/PMKKKY.pdf,0.61,7,2026-06-01T15:13:35.854420,,,,PDFium,PDFium,2015-09-24 16:43:45,
Primary_Water_Quality_Criteria.pdf,/home/manu/mining_gpt/data/raw_pdfs/Primary_Water_Quality_Criteria.pdf,0.17,4,2026-06-01T15:13:35.856798,,,,,"iText# by Gerald Henson (r0.95 of lowagie.com, based on version Paulo build 103)",2013-03-06 19:19:04+05:30,2019-10-11 11:58:20+05:30
THE-METALLIFEROUS-MINES-REGULATIONS-1961.pdf,/home/manu/mining_gpt/data/raw_pdfs/THE-METALLIFEROUS-MINES-REGULATIONS-1961.pdf,0.56,139,2026-06-01T15:13:35.955236,THE-METALLIFEROUS-MINES-REGULATIONS-1961,Deepak Gupta,,mmr.doc - Microsoft Word,Acrobat PDFWriter 5.0 for Windows NT; modified using iText® 7.1.4 ©2000-2018 iText Group NV (AGPL-version),2006-05-19 23:59:20+00:00,2019-03-19 18:30:24+05:30
THE_ENVIRONMENT.pdf,/home/manu/mining_gpt/data/raw_pdfs/THE_ENVIRONMENT.pdf,0.12,11,2026-06-01T15:13:35.957520,,NCM1,,Nitro PDF Professional  (6. 2. 0. 44),Nitro PDF Professional  (6. 2. 0. 44),2013-05-24 12:59:35+00:00,2013-05-24 12:59:36+00:00
The_Environment_Protection_Rules_1986-3.pdf,/home/manu/mining_gpt/data/raw_pdfs/The_Environment_Protection_Rules_1986-3.pdf,0.12,11,2026-06-01T15:13:35.959359,,NCM1,,Nitro PDF Professional  (6. 2. 0. 44),Nitro PDF Professional  (6. 2. 0. 44),2013-05-24 12:59:35+00:00,2013-05-24 12:59:36+00:00
a1927-16.pdf,/home/manu/mining_gpt/data/raw_pdfs/a1927-16.pdf,0.75,82,2026-06-01T15:13:35.980254,,HP,,Microsoft® Word 2019,Microsoft® Word 2019,2023-11-17 14:58:01+05:30,2023-11-17 14:58:01+05:30
a1961-43.pdf,/home/manu/mining_gpt/data/raw_pdfs/a1961-43.pdf,5.94,880,2026-06-01T15:13:36.133083,,Naseem,,Microsoft® Word 2010,Microsoft® Word 2010,2019-04-29 15:53:29+04:00,2019-04-29 15:53:29+04:00
a1986-27.pdf,/home/manu/mining_gpt/data/raw_pdfs/a1986-27.pdf,0.38,3,2026-06-01T15:13:36.136511,,ANJU,,Microsoft® Word 2010,Microsoft® Word 2010,2019-04-10 11:56:16-07:00,2019-04-10 11:56:16-07:00
a2003-17.pdf,/home/manu/mining_gpt/data/raw_pdfs/a2003-17.pdf,0.29,21,2026-06-01T15:13:36.143296,,deo ld,,Microsoft® Word 2019,Microsoft® Word 2019,2024-07-25 10:39:38+05:30,2024-07-25 10:39:38+05:30
a2015-11.pdf,/home/manu/mining_gpt/data/raw_pdfs/a2015-11.pdf,0.41,30,2026-06-01T15:13:36.156747,,ANJU,,Microsoft® Word 2019,Microsoft® Word 2019,2023-02-20 11:38:22+04:00,2023-02-20 11:38:22+04:00
aA1992-16.pdf,/home/manu/mining_gpt/data/raw_pdfs/aA1992-16.pdf,0.2,6,2026-06-01T15:13:36.159603,,ANJU,,Microsoft® Word 2021,Microsoft® Word 2021,2025-12-19 10:49:42+05:30,2025-12-19 10:49:42+05:30
auctionrulesamendment.pdf,/home/manu/mining_gpt/data/raw_pdfs/auctionrulesamendment.pdf,1.57,3,2026-06-01T15:13:36.163441,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2021-03-17 16:04:42+05:30,2021-03-17 16:06:20+05:30
captiverules.pdf,/home/manu/mining_gpt/data/raw_pdfs/captiverules.pdf,0.28,17,2026-06-01T15:13:36.166686,Microsoft Word - 2699gi,Administrator,,PScript5.dll Version 5.2.2,GPL Ghostscript 9.06,2016-05-31 22:34:27+05:30,2016-05-31 22:34:27+05:30
coasteal_water_standards.pdf,/home/manu/mining_gpt/data/raw_pdfs/coasteal_water_standards.pdf,0.19,6,2026-06-01T15:13:36.169102,,,,,ScanSoft OmniPage 16,2019-10-16 17:59:06+05:30,2019-10-23 12:48:24+05:30
eprotect_act_1986.pdf,/home/manu/mining_gpt/data/raw_pdfs/eprotect_act_1986.pdf,6.05,15,2026-06-01T15:13:36.179717,,,,,doPDF Ver 7.2 Build 373 (Windows 7 Business Edition - Version: 6.1.7600 (x86)),2011-12-02 12:32:43+05:30,
hH1992-16.pdf,/home/manu/mining_gpt/data/raw_pdfs/hH1992-16.pdf,0.21,2,2026-06-01T15:13:36.181680,,pc,,Microsoft® Word 2016,Microsoft® Word 2016,2023-09-21 18:03:08+05:30,2023-09-21 18:03:08+05:30
mineralevidence.pdf,/home/manu/mining_gpt/data/raw_pdfs/mineralevidence.pdf,0.54,26,2026-06-01T15:13:36.186906,Microsoft Word - 1759gi.doc,Administrator,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2015-04-21 15:10:39,2015-04-21 15:10:39
mininggovtcompany.pdf,/home/manu/mining_gpt/data/raw_pdfs/mininggovtcompany.pdf,0.15,3,2026-06-01T15:13:36.189374,Microsoft Word - 5044gi.doc,12,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2015-12-07 10:12:30,2015-12-07 10:12:30
mmdramend15.pdf,/home/manu/mining_gpt/data/raw_pdfs/mmdramend15.pdf,0.13,12,2026-06-01T15:13:36.192703,5604GI.p65,HCL PC-2,,PageMaker 6.5,Acrobat Distiller 7.0 (Windows),2015-03-30 10:00:35+05:30,2015-03-30 10:01:46+05:30
nonexclusive.pdf,/home/manu/mining_gpt/data/raw_pdfs/nonexclusive.pdf,1.85,10,2026-06-01T15:13:36.196684,,,,,,,
royalty14.pdf,/home/manu/mining_gpt/data/raw_pdfs/royalty14.pdf,3.22,11,2026-06-01T15:13:36.202225,,,,,iText® 5.5.0 ©2000-2013 iText Group NV (ONLINE PDF SERVICES; licensed version),2014-09-03 06:16:38-04:00,2014-09-03 06:16:38-04:00
sandminingframework.pdf,/home/manu/mining_gpt/data/raw_pdfs/sandminingframework.pdf,9.68,256,2026-06-01T15:13:36.307217,,c-rameshwarig,,Microsoft® Word 2013,Microsoft® Word 2013,2018-03-23 21:17:22+05:30,2018-03-23 21:29:16+05:30
starrating.pdf,/home/manu/mining_gpt/data/raw_pdfs/starrating.pdf,0.49,13,2026-06-01T15:13:36.317486,,RCOM,,Microsoft® Word 2013,Microsoft® Word 2013,2016-05-24 09:39:39+05:30,2016-05-24 09:39:39+05:30
